time,free_cpu_ratio,job_queue_ratio,battery_ratio,running_job_ratio,time_norm,cpu_usage_ratio,clean_energy_ratio,solar_generation,wind_generation,clean_energy_generation,non_clean_energy_used,cluster_consumption,reward,battery_level,ram_usage_ratio,brown_energy_ratio,completed_jobs,avg_slowdown
1,0.9556761694598639,1.0,1.0,0.015625,0.0033333333333333335,0.04432383054013613,1.0,0.0,571.4147102081546,514.2732391873392,0,0,0.1329714916204084,100,0.044545137510336286,0,0,0
2,0.8977076762482276,1.0,1.0,0.015625,0.006666666666666667,0.10229232375177247,1.0,0.0,575.0243233988763,517.5218910589887,0,0,1.3068769712553174,100,0.027857212653987884,0,1,1.0
3,0.8240392309539587,1.0,1.0,0.03125,0.01,0.17596076904604133,1.0,0.0,573.9812996974827,516.5831697277345,0,29.466870891302186,10.527882307138125,100,0.05889406453320645,0.0,0,0
4,0.8293166685481898,1.0,1.0,0.03125,0.013333333333333334,0.17068333145181028,1.0,0.0,186.08811195755902,167.47930076180313,0,75.52507635209209,11.012049994355431,100,0.07186571720884194,0.0,1,1.5
5,0.7426308340083696,1.0,1.0,0.046875,0.016666666666666666,0.2573691659916304,1.0,0.0,669.3844809818643,602.4460328836778,0,203.67722243351375,10.772107497974892,100,0.09846667974169576,0.0,0,0
6,0.6529864329017347,1.0,1.0,0.0625,0.02,0.34701356709826525,1.0,0.0,668.8302468757352,601.9472221881616,0,282.3737190579603,11.041040701294795,100,0.1444394731602947,0.0,0,0
7,0.5522407098693659,1.0,1.0,0.078125,0.023333333333333334,0.4477592901306341,1.0,0.0,449.22138645715677,404.2992478114411,0,340.38368054271535,11.343277870391901,100,0.18852195373189373,0.0,0,0
8,0.5719752847291424,1.0,1.0,0.078125,0.02666666666666667,0.42802471527085756,1.0,31.05828541230249,834.071659312574,778.6169502523887,0,340.38368054271535,6.284074145812573,100,0.19638120707742945,0.0,1,7.0
9,0.549237279642296,1.0,1.0,0.078125,0.03,0.45076272035770404,0.8796048575170495,59.99999999999999,256.7253151769403,285.05278365924624,39.01634945570021,324.06913311494645,9.611051978080768,100,0.20167376762045064,0.12039514248295043,1,1.3333333333333333
10,0.6473105621013513,1.0,1.0,0.0625,0.03333333333333333,0.35268943789864865,1.0,84.85281374238569,521.1762018105744,545.4261139976642,0,279.0697923160038,11.008068313695945,100,0.1859033436272628,0.0,2,2.025
11,0.7624457594037035,1.0,1.0,0.046875,0.03666666666666667,0.23755424059629646,1.0,103.92304845413263,1021.0138601494623,1012.4432177432354,0,150.91764623458215,3.2840912932174606,100,0.10662395049167117,0.0,2,5.714285714285714
12,0.7585498234011913,1.0,1.0,0.046875,0.04,0.24145017659880877,1.0,115.9110991546882,590.921093846305,636.1489737008939,0,165.2601007938853,9.974350529796427,100,0.09351257988855766,0.0,1,2.75
13,0.6627910781615926,1.0,1.0,0.0625,0.043333333333333335,0.33720892183840745,1.0,120.0,932.1909968664027,946.9718971797624,0,209.93231919712457,11.011626765515222,100,0.15065785449333524,0.0,0,0
14,0.5671617248487755,1.0,1.0,0.078125,0.04666666666666667,0.4328382751512245,1.0,115.9110991546882,322.38425247574725,394.4658164673919,0,248.16274499587158,11.298514825453674,100,0.16903425364548275,0.0,0,0
