time,free_cpu_ratio,job_queue_ratio,battery_ratio,running_job_ratio,time_norm,cpu_usage_ratio,clean_energy_ratio,solar_generation,wind_generation,clean_energy_generation,non_clean_energy_used,cluster_consumption,reward,battery_level,ram_usage_ratio,brown_energy_ratio,completed_jobs,avg_slowdown
1,0.9634714893209475,1.0,1.0,0.015625,0.0033333333333333335,0.03652851067905246,1.0,119.55851409346799,0.0,107.6026626841212,0,0,0.10958553203715737,100,0.03674361877061505,0,0,0
2,0.8806921352499528,1.0,1.0,0.03125,0.006666666666666667,0.11930786475004723,1.0,691.4815058332069,0.0,622.3333552498863,0,33.76033005486948,10.357923594250142,100,0.07751749240746386,0.0,0,0
3,0.8111578023632536,1.0,1.0,0.046875,0.01,0.18884219763674637,1.0,499.98412663371187,0.0,449.98571397034067,0,135.6938635306126,10.56652659291024,100,0.1175794945200116,0.0,0,0
4,0.7498194601772822,1.0,1.0,0.0625,0.013333333333333334,0.2501805398227178,1.0,389.81855908972807,0.0,350.83670318075525,0,183.2648486886216,10.750541619468153,100,0.18358963870192158,0.0,0,0
5,0.744304252042292,1.0,0.8,0.0625,0.016666666666666666,0.25569574795770805,0.07989652603977926,0.0,0.0,20.0,230.32377490408413,250.32377490408413,-6.6349822353312895,80.0,0.1673123083545176,0.9201034739602207,1,1.0
6,0.6820949835018366,1.0,0.6,0.078125,0.02,0.31790501649816333,0.07174793823280165,0.0,0.0,20.0,258.75365470580755,278.75365470580755,-7.611326185849475,60.0,0.18835941176959947,0.9282520617671983,0,0
7,0.6602335957224243,1.0,0.4,0.078125,0.023333333333333334,0.3397664042775757,0.06634989500191515,0.0,0.0,20.0,281.4322780680016,301.4322780680016,-7.1537028871289685,40.0,0.19442124703613006,0.9336501049980849,1,1.5
8,0.5958612202060061,1.0,1.0,0.09375,0.02666666666666667,0.40413877979399393,1.0,767.8885517704806,62.11657082460498,635.1947828512881,0,341.8405819825788,11.212416339381981,100,0.21601335493622909,0.0,0,0
9,0.6486798824154041,1.0,1.0,0.078125,0.03,0.35132011758459597,1.0,581.7780694184396,119.99999999999999,415.6002624765957,0,272.31934970497053,11.911103209896645,100,0.20692830935257078,0.0,2,1.5714285714285714
10,0.648656212173562,1.0,1.0,0.078125,0.03333333333333333,0.35134378782643805,1.0,742.4939548506004,169.70562748477138,515.5094946292461,0,298.74196162776684,10.054031363479314,100,0.21447979699975017,0.0,1,3.0
11,0.6549749838308564,1.0,0.8,0.078125,0.03666666666666667,0.3450250161691436,0.06798937162238415,207.84609690826525,207.84609690826525,20.0,274.16362473653743,294.16362473653743,-7.033708947616316,80.0,0.20433983878509576,0.9320106283776158,1,1.4285714285714286
12,0.5932787971282121,1.0,1.0,0.09375,0.04,0.4067212028717879,1.0,1065.7037164227195,231.8221983093764,750.4933663020089,0,342.8132185416717,11.220163608615364,100,0.25212139572988546,0.0,0,0
13,0.5642698728219395,1.0,1.0,0.09375,0.043333333333333335,0.43573012717806053,1.0,943.1449351684049,240.0,632.8304416515645,0,346.5286883589381,11.592904667248469,100,0.264634062427785,0.0,1,1.7142857142857142
14,0.6489598636222108,1.0,1.0,0.078125,0.04666666666666667,0.3510401363777892,0.2872430974066259,338.43580459835016,231.8221983093764,95.95224566007641,238.09319016198924,334.04543582206566,-3.9686843094007807,100,0.2555340435733804,0.7127569025933741,2,2.3833333333333333
15,0.6431745119924508,1.0,0.8,0.078125,0.05,0.35682548800754915,0.2322624708380827,281.4913844127077,207.84609690826528,86.2807587539982,285.19879385158464,371.47955260558285,-5.784274119215699,80.0,0.2297763547346645,0.7677375291619173,1,3.5
16,0.6667429668214055,1.0,0.8691069821409217,0.078125,0.05333333333333334,0.3332570331785945,0.20994325433059094,238.8126096256932,169.7056274847714,62.19628392682961,234.0565493692148,296.2528332960444,-5.301363813852399,86.91069821409218,0.22630987952560422,0.7900567456694091,1,2.5
17,0.681110876310615,1.0,1.0,0.078125,0.056666666666666664,0.31888912368938505,0.4437584448617213,296.78021138611535,119.99999999999999,159.10219024750384,199.43113365821105,358.5333239057149,-6.168163731697418,100,0.23337831490655347,0.5562415551382787,1,8.0
18,0.707811026518542,1.0,1.0,0.078125,0.06,0.292188973481458,1.0,440.12562619349126,62.11657082460504,340.2081498319976,0,331.9987757358551,10.04323358711104,100,0.2444373371776799,0.0,1,2.8333333333333335
19,0.61521044944603,1.0,1.0,0.09375,0.06333333333333334,0.38478955055397,0.655835914153815,276.49059438729404,2.939152317953648e-14,248.8415349485646,130.58497948626868,379.4265144348333,4.271086934738211,100,0.279129905715235,0.3441640858461849,0,0
20,0.6023947515802263,1.0,1.0,0.09375,0.06666666666666667,0.39760524841977374,0.36570303301701734,127.24162036737607,0.0,114.51745833063846,198.6258519281791,313.14331025881756,-2.207409308686046,100,0.2836044893862778,0.6342969669829827,1,2.7142857142857144
21,0.6260871314982261,1.0,1.0,0.09375,0.07,0.37391286850177385,1.0,419.3787789334842,0.0,377.4409010401358,0,298.9450866992002,10.264595748362463,100,0.2803996285872191,0.0,1,2.857142857142857
22,0.7823508744885445,1.0,0.8,0.0625,0.07333333333333333,0.21764912551145557,0.11096753981989832,0.0,0.0,20.0,160.23288641399319,180.23288641399319,-15.827701827067663,80.0,0.22205521918320636,0.8890324601801016,3,4.8999999999999995
23,0.791853484844462,1.0,0.8777288050885724,0.0625,0.07666666666666666,0.20814651515553792,0.38475652170162467,77.72880508857247,0.0,69.95592457971523,111.86275979326973,181.81868437298496,-4.080430020500894,87.77288050885724,0.220354733037611,0.6152434782983753,1,4.4
24,0.8480631683734066,1.0,1.0,0.0625,0.08,0.1519368316265934,0.8648043731600565,130.50314124163154,0.0,117.45282711746839,18.361503571317826,135.8143306887862,4.001897958080913,100,0.20487504756332897,0.1351956268399435,1,5.75
25,0.8512248557915068,1.0,1.0,0.0625,0.08333333333333333,0.14877514420849322,1.0,197.82718484835448,0.0,178.04446636351904,0,135.8143306887862,-11.55367456737452,100,0.23152980578066673,0.0,1,24.0
26,0.8677941157904003,1.0,1.0,0.0625,0.08666666666666667,0.1322058842095997,1.0,532.5646946169804,0.0,479.3082251552824,0,154.16603158925903,6.146617652628799,100,0.1893449872308045,0.0,1,6.25
27,0.8286117490673168,1.0,0.8,0.0625,0.09,0.17138825093268323,0.14490129996995915,0.0,0.0,20.0,118.02498669195091,138.02498669195091,-11.087809247802767,80.0,0.16406633640038903,0.8550987000300408,1,6.5
28,0.8220656888946511,1.0,1.0,0.046875,0.09333333333333334,0.17793431110534882,1.0,308.77147513764004,0.0,277.89432762387605,0,106.6009057241272,-2.8233399238268113,100,0.10093574565295504,0.0,2,8.678571428571429
29,0.7277902969648028,1.0,1.0,0.0625,0.09666666666666666,0.2722097030351972,1.0,400.7179861075607,0.0,360.64618749680466,0,192.43397091196772,10.816629109105591,100,0.14354672263447288,0.0,0,0
30,0.6646445627949513,1.0,0.8,0.078125,0.1,0.33535543720504873,0.06622405486569324,0.0,0.0,20.0,282.0050650864149,302.0050650864149,-7.669452591070989,80.0,0.1828901082489902,0.9337759451343067,0,0
31,0.6427455953472406,1.0,1.0,0.078125,0.10333333333333333,0.35725440465275937,1.0,445.06643431624366,0.0,400.5597908846193,0,352.84602690820054,5.571763213958278,100,0.17281801015757092,0.0,1,7.5
32,0.6102347243711452,1.0,0.8,0.078125,0.10666666666666667,0.38976527562885477,0.13627992527989963,100.06261056634271,62.11657082460498,54.15143576756396,343.20302165780225,397.3544574253662,-8.53367709608687,80.0,0.14384544573182423,0.8637200747201004,1,4.428571428571429
33,0.5679072895089468,1.0,0.6,0.09375,0.11,0.43209271049105324,0.04429052331362431,119.99999999999999,119.99999999999999,20.0,431.5638674751841,451.5638674751841,-7.817911402254356,60.0,0.19464577567721586,0.9557094766863757,0,0
34,0.53052204838305,1.0,1.0,0.109375,0.11333333333333333,0.46947795161695005,1.0,973.6743959295967,169.70562748477138,723.5718916003427,0,526.8853030395657,11.40843385485085,100,0.22348783579833809,0.0,0,0
35,0.6009854930897804,1.0,1.0,0.09375,0.11666666666666667,0.3990145069102196,1.0,1033.946167645468,207.84609690826525,743.4900636634826,0,363.79392714107195,4.673233996921136,100,0.22429155855544392,0.0,2,5.261904761904762
36,0.7415610091965836,1.0,1.0,0.078125,0.12,0.2584389908034163,1.0,910.6517125390077,231.8221983093764,610.9465628066682,0,309.58451709125404,-28.97468302758975,100,0.1895370973498035,0.0,2,21.875
37,0.7259314412923544,1.0,1.0,0.078125,0.12333333333333334,0.27406855870764557,0.7124901173490693,436.4292184064359,240.0,176.7862965657923,71.33826300501732,248.12455957080962,1.92915088024718,100,0.18109540793446488,0.28750988265093064,1,5.142857142857143
38,0.7205695393568086,1.0,0.8,0.078125,0.12666666666666668,0.2794304606431915,0.06948928340093624,231.8221983093764,231.8221983093764,20.0,267.81416387049023,287.81416387049023,-15.021922950051701,80.0,0.21632771796141737,0.9305107165990638,1,9.25
39,0.7263496758321816,1.0,1.0,0.078125,0.13,0.2736503241678184,1.0,763.8031213455617,207.84609690826528,500.36132199356683,0,235.26114279987138,8.070950972503455,100,0.24120877872902768,0.0,1,4.75
40,0.6823905826632202,1.0,1.0,0.078125,0.13333333333333333,0.31760941733677983,1.0,485.29067415641396,169.7056274847714,284.0265420044783,0,269.82042696045085,3.2028282520103395,100,0.25496520912093756,0.0,1,9.75
41,0.6209543818362888,1.0,0.8,0.078125,0.13666666666666666,0.3790456181637112,0.10269732669395688,121.86436359594684,119.99999999999999,21.67792723635217,189.4076767828592,211.08560401921136,-9.808916611629728,80.0,0.2605975829210132,0.8973026733060432,1,5.0
42,0.7989135241992904,1.0,1.0,0.046875,0.14,0.20108647580070965,1.0,411.7292855333623,62.11657082460504,314.65144323788155,0,122.49660363259466,-53.096740572597874,100,0.14746242956016486,0.0,3,23.233333333333334
43,0.8504560005951165,1.0,0.8,0.046875,0.14333333333333334,0.14954399940488344,0.11863173004763397,2.939152317953648e-14,2.939152317953648e-14,20.0,148.58896006970005,168.58896006970005,-15.67873340083267,80.0,0.1402935326492336,0.8813682699523661,1,10.5
44,0.8044597827803043,1.0,1.0,0.046875,0.14666666666666667,0.19554021721969575,1.0,720.6092317728866,0.0,648.548308595598,0,117.20926260323887,5.4199539849924205,100,0.1244753153278475,0.0,1,7.166666666666667
45,0.7644992576769398,1.0,1.0,0.046875,0.15,0.23550074232306017,0.536892530630975,80.4287823360162,0.0,72.38590410241459,62.43791998272239,134.82382408513698,-18.55564716041132,100,0.12746367976563222,0.463107469369025,1,22.0
46,0.8689859084183458,1.0,1.0,0.03125,0.15333333333333332,0.13101409158165425,1.0,451.12780724039567,0.0,406.0150265163561,0,109.26831306471047,-53.106957725255036,100,0.07550088790202425,0.0,2,33.75
47,0.7906791577189608,1.0,1.0,0.046875,0.15666666666666668,0.20932084228103917,0.536709239266215,96.51257554059755,0.0,86.8613179865378,74.97923110722097,161.84054909375877,1.3621473121674181,100,0.1334354418281568,0.46329076073378495,0,0
48,0.6996379986759198,1.0,1.0,0.0625,0.16,0.30036200132408025,0.9571459574249277,278.0610720103859,0.0,250.2549648093473,11.204599291643717,261.45956410099103,10.044005152470794,100,0.15693348183529032,0.04285404257507231,0,0
49,0.6142453174619558,1.0,1.0,0.078125,0.16333333333333333,0.38575468253804424,0.8877999294449824,284.84186816954843,0.0,256.3576813525936,32.39845936129262,288.7561407138862,8.913262636513782,100,0.18386388089238626,0.1122000705550176,0,0
50,0.6974496731391728,1.0,0.8,0.0625,0.16666666666666666,0.30255032686082717,0.10800193206768896,0.0,0.0,20.0,165.18187237118343,185.18187237118343,-33.55731037806374,80.0,0.18608694411900129,0.8919980679323111,2,15.3125
51,0.6836479837169547,1.0,1.0,0.0625,0.17,0.31635201628304527,1.0,728.0711851487392,0.0,655.2640666338654,0,191.38140761982635,2.949056048849136,100,0.20525729905494372,0.0,1,10.0
52,0.6908104302104356,1.0,1.0,0.0625,0.17333333333333334,0.3091895697895643,1.0,559.2339246872428,0.0,503.3105322185186,0,194.21673612741978,-4.072431290631307,100,0.20150130664059185,0.0,1,17.0
53,0.7214809051600672,1.0,1.0,0.0625,0.17666666666666667,0.2785190948399328,1.0,733.9189839016215,0.0,660.5270855114593,0,140.08119260218848,4.168890617853132,100,0.16883139597764152,0.0,1,8.666666666666666
54,0.7995793684281118,1.0,1.0,0.046875,0.18,0.20042063157188822,1.0,706.6959021877985,0.0,636.0263119690187,0,68.5239680603812,-16.315404771951002,100,0.10032868080420931,0.0,2,15.458333333333334
55,0.7688051550200106,1.0,1.0,0.0625,0.18333333333333332,0.2311948449799894,1.0,435.8073561495046,0.0,392.2266205345541,0,125.11452713536545,10.693584534939967,100,0.12580424027995507,0.0,0,0
56,0.8208400652148755,1.0,1.0,0.03125,0.18666666666666668,0.17915993478512449,1.0,821.3587174487351,62.11657082460498,683.3179319617171,0,56.59055907498426,-70.54585352897796,100,0.06968927643169265,0.0,3,29.027777777777775
57,0.7406753258736478,1.0,0.8,0.046875,0.19,0.2593246741263522,0.12562423526061578,119.99999999999999,119.99999999999999,20.0,139.2049492560785,159.2049492560785,-6.709541272408628,80.0,0.1347439413591155,0.8743757647393843,0,0
58,0.7329678768000432,1.0,0.8811822006040048,0.046875,0.19333333333333333,0.26703212319995684,0.3871984543662589,250.8878280887761,169.70562748477138,73.06398054360425,115.63506956802543,188.69905011162967,-13.704934543074952,88.11822006040047,0.14265743837132272,0.6128015456337411,1,14.25
59,0.6519608812860738,1.0,0.6811822006040047,0.0625,0.19666666666666666,0.3480391187139263,0.08425994594244429,207.84609690826525,207.84609690826525,20.0,217.36070295679355,237.36070295679355,-7.270683725009336,68.11822006040047,0.2051424527977691,0.9157400540575558,0,0
60,0.5648813130145862,1.0,0.8962673781745673,0.078125,0.2,0.43511868698541384,0.7169188976893981,446.90737587993885,231.8221983093764,193.5766598135062,76.43527659575332,270.01193640925953,5.643734014744203,89.62673781745673,0.2399795037172221,0.28308110231060185,0,0
