time,free_cpu_ratio,job_queue_ratio,battery_ratio,running_job_ratio,time_norm,cpu_usage_ratio,clean_energy_ratio,solar_generation,wind_generation,clean_energy_generation,non_clean_energy_used,cluster_consumption,reward,battery_level,ram_usage_ratio,brown_energy_ratio,completed_jobs,avg_slowdown
1,0.9330990342112537,1.0,1.0,0.015625,0.0033333333333333335,0.06690096578874631,1.0,0.0,39.66692836211565,35.700235525904084,0,0,0.20070289736623892,100,0.05841100319284631,0,0,0
2,0.8961374227864219,1.0,1.0,0.03125,0.006666666666666667,0.10386257721357808,1.0,0.0,514.4847467185732,463.0362720467159,0,16.74542617672642,10.311587731640735,100,0.10915992114275008,0.0,0,0
3,0.8914298717099414,1.0,0.8,0.03125,0.01,0.10857012829005867,1.0,0.0,0,20.0,0,11.24228506614835,11.325710384870176,80.0,0.09969441956641079,0.0,1,1.0
4,0.8754147404599918,1.0,0.8098754541924155,0.03125,0.013333333333333334,0.1245852595400082,0.4652275951270321,0.0,9.87545419241549,8.88790877317394,10.216522834643872,19.104431607817812,0.1783076811606668,80.98754541924154,0.08193665949424045,0.5347724048729678,1,1.5
5,0.8684636045170068,1.0,0.847530393648931,0.03125,0.016666666666666666,0.13153639548299323,1.0,0.0,37.65493945651559,33.889445510864036,0,15.781818898104923,10.39460918644898,84.7530393648931,0.09180487685609495,0.0,1,2.0
6,0.874250500337699,1.0,1.0,0.03125,0.02,0.12574949966230092,1.0,0.0,299.48704952528607,269.53834457275747,0,24.735910465197534,9.877248498986903,100,0.08226968263132106,0.0,1,2.5
7,0.858316289490962,1.0,1.0,0.03125,0.023333333333333334,0.141683710509038,1.0,0.0,110.3957571677335,99.35618145096016,0,14.495884122587613,9.425051131527114,100,0.06399717856653542,0.0,1,3.0
8,0.8053671008289974,1.0,1.0,0.03125,0.02666666666666667,0.19463289917100254,1.0,31.05828541230249,820.3002112157602,766.2226469652564,0,33.73337855653917,9.083898697513007,100,0.08571444284765428,0.0,1,3.5
9,0.8721680554773475,1.0,1.0,0.03125,0.03,0.12783194452265248,1.0,59.99999999999999,993.1573583857065,947.8416225471358,0,42.98364134002914,8.383495833567958,100,0.10325688884833539,0.0,1,4.0
10,0.7910887251255169,1.0,1.0,0.046875,0.03333333333333333,0.20891127487448316,1.0,84.85281374238569,735.0910854459435,737.9495092694963,0,64.28822216086148,10.62673382462345,100,0.127770193111731,0.0,0,0
11,0.8547780337573136,1.0,1.0,0.046875,0.03666666666666667,0.1452219662426863,1.0,103.92304845413263,0,93.53074360871936,0,57.20510057492237,9.102332565394725,100,0.1398886614697511,0.0,1,3.3333333333333335
12,0.8413377809057272,1.0,1.0,0.046875,0.04,0.1586622190942728,1.0,115.9110991546882,971.4215642510311,978.5993970651474,0,61.3421052094353,8.809319990616153,100,0.11987906528028647,0.0,1,3.6666666666666665
13,0.8394748749048302,1.0,1.0,0.046875,0.043333333333333335,0.16052512509516986,1.0,120.0,120.8083585808295,216.72752272274658,0,49.27899338752059,8.481575375285509,100,0.15718545417770813,0.0,1,4.0
14,0.89305937860373,1.0,1.0,0.03125,0.04666666666666667,0.10694062139627007,1.0,115.9110991546882,40.20426973100959,140.503831997128,0,23.837407932175314,-3.012511469144522,100,0.09288303138679566,0.0,2,8.666666666666666
15,0.8390678977517538,1.0,1.0,0.03125,0.05,0.16093210224824617,1.0,103.92304845413264,428.9373036403902,479.5743168850705,0,39.614442209986684,7.8161296400780715,100,0.092445252046778,0.0,1,4.666666666666667
16,0.7424298169944669,1.0,1.0,0.046875,0.05333333333333334,0.25757018300553314,1.0,84.8528137423857,1020.6913373214826,994.9897359574816,0,88.69053651329418,10.7727105490166,100,0.11119454317450472,0.0,0,0
17,0.7729188851981581,1.0,1.0,0.046875,0.056666666666666664,0.22708111480184187,1.0,59.99999999999999,764.8615913028771,742.3754321725894,0,84.60158758622407,7.347910011072193,100,0.10707845331874011,0.0,1,5.333333333333333
18,0.8363901726747605,1.0,1.0,0.046875,0.06,0.16360982732523952,1.0,31.05828541230252,98.04245983883536,116.1906707260241,0,61.36083621073612,6.824162815309052,100,0.09225386736471242,0.0,1,5.666666666666667
19,0.8622263114264063,1.0,1.0,0.046875,0.06333333333333334,0.13777368857359376,1.0,1.469576158976824e-14,211.64345333447892,190.47910800103105,0,44.42665398075092,6.4133210657207815,100,0.10776267167286857,0.0,1,6.0
20,0.8209943890504137,1.0,1.0,0.046875,0.06666666666666667,0.17900561094958634,1.0,0.0,723.6844547148602,651.3160092433742,0,58.29972300339414,6.203683499515426,100,0.11610721634105536,0.0,1,6.333333333333333
21,0.8217717444675217,1.0,1.0,0.046875,0.07,0.1782282555324784,1.0,0.0,446.2871077915636,401.65839701240725,0,61.42147429430627,5.868018099930769,100,0.1198360173127706,0.0,1,6.666666666666667
22,0.9356928821640336,1.0,1.0,0.03125,0.07333333333333333,0.06430711783596649,1.0,0.0,342.8446449087815,308.5601804179034,0,20.216215052612476,-3.3070786464921005,100,0.086865513789949,0.0,2,8.75
23,0.9037709842881071,1.0,1.0,0.046875,0.07666666666666666,0.09622901571189288,1.0,0.0,898.4680985387743,808.6212886848969,0,50.79041769811642,10.288687047135678,100,0.13088400928134636,0.0,0,0
24,0.9085888995704889,1.0,1.0,0.046875,0.08,0.09141110042951112,1.0,0.0,344.47607446788294,310.0284670210946,0,56.63006999120167,4.607566634621866,100,0.12079647168125818,0.0,1,7.666666666666667
25,0.8634326102138046,1.0,1.0,0.0625,0.08333333333333333,0.13656738978619543,1.0,0.0,477.8018139833077,430.02163258497694,0,73.4292304911587,10.409702169358587,100,0.18552722776306585,0.0,0,0
26,0.861466695858758,1.0,0.8,0.0625,0.08666666666666667,0.13853330414124201,0.2420463285814324,0.0,0,20.0,62.628809605229506,82.6288096052295,-8.993473515947626,80.0,0.18403816589008637,0.7579536714185676,1,6.25
27,0.8556363383207828,1.0,0.6,0.046875,0.09,0.1443636616792172,0.3535258942030767,0.0,0,20.0,36.572942259531786,56.572942259531786,-30.996391130900815,60.0,0.14118683814849808,0.6464741057969233,2,16.25
28,0.8529559285327281,1.0,0.4,0.046875,0.09333333333333334,0.14704407146727191,0.22919287770878194,0.0,0,20.0,67.2627465562542,87.2627465562542,-9.725010231422546,40.0,0.1829411321152824,0.7708071222912181,1,6.75
29,0.8724950720931471,1.0,0.6553161801619951,0.046875,0.09666666666666666,0.12750492790685286,1.0,0.0,255.31618016199516,229.78456214579566,0,78.06476151193648,5.382514783720558,65.53161801619952,0.14291555293556346,0.0,1,7.0
30,0.8607564109491304,1.0,0.8033285834622168,0.046875,0.1,0.13924358905086962,1.0,0.0,148.0124033002217,133.21116297019955,0,42.670341930065305,2.7510641004859426,80.33285834622168,0.11092644650014871,0.0,1,9.666666666666666
31,0.818207987564368,1.0,0.6033285834622168,0.0625,0.10333333333333333,0.18179201243563198,0.20778097011038318,0.0,0,20.0,76.25520561086535,96.25520561086535,-5.299004560485439,60.332858346221684,0.13915031024738622,0.7922190298896168,0,0
32,0.7776059255875889,1.0,1.0,0.046875,0.10666666666666667,0.22239407441241113,1.0,31.05828541230249,813.6713741957938,760.2566936472866,0,84.2262869963118,-3.416151110096102,100,0.08254964540479182,0.0,2,9.041666666666668
33,0.7057171138005236,1.0,1.0,0.0625,0.11,0.29428288619947635,0.42244414894534354,59.99999999999999,0,53.99999999999999,73.82754864711501,127.827548647115,-0.6682683624946997,100,0.12436391487212772,0.5775558510546566,0,0
34,0.7062221276365628,1.0,1.0,0.0625,0.11333333333333333,0.2937778723634372,1.0,84.85281374238569,660.7710257477187,671.061455541094,0,121.77320233295498,4.631333617090312,100,0.12176161388250717,0.0,1,8.25
35,0.8603154765076684,1.0,1.0,0.03125,0.11666666666666667,0.1396845234923316,1.0,103.92304845413263,819.0271823252255,830.6552077014223,0,47.53051736664003,-37.41427976285634,100,0.0695837715315264,0.0,3,17.944444444444446
36,0.8153547066568505,1.0,1.0,0.046875,0.12,0.18464529334314947,1.0,115.9110991546882,42.597987829901626,142.65817828613086,0,69.01875564973702,10.553935880029448,100,0.08882080982905916,0.0,0,0
37,0.9085842413582617,1.0,1.0,0.03125,0.12333333333333334,0.0914157586417383,1.0,120.0,595.3165132887234,643.7848619598511,0,29.870213967972177,-12.725752724074786,100,0.06103514040583058,0.0,2,13.5
38,0.8131743015152698,1.0,1.0,0.046875,0.12666666666666668,0.1868256984847302,1.0,115.9110991546882,506.9149983223768,560.5434877293585,0,66.81990903197622,10.56047709545419,100,0.10265068686618029,0.0,0,0
39,0.7443916255633307,1.0,1.0,0.0625,0.13,0.2556083744366693,0.696686415251595,103.92304845413264,0,93.53074360871938,40.72010664640226,134.25085025512163,4.700553428341909,100,0.16439089597710277,0.3033135847484049,0,0
40,0.6988035431782944,1.0,1.0,0.0625,0.13333333333333333,0.3011964568217056,1.0,84.8528137423857,803.1819050001837,799.2312468683125,0,163.05711806420248,3.1535893704651166,100,0.20915275644044606,0.0,1,9.75
41,0.6971523763899059,1.0,1.0,0.0625,0.13666666666666666,0.30284762361009415,1.0,59.99999999999999,1022.2152670210286,973.9937403189257,0,158.3567780978621,2.9085428708302823,100,0.22143321605003896,0.0,1,10.0
42,0.7953378941208966,1.0,1.0,0.046875,0.14,0.20466210587910338,1.0,31.05828541230252,360.01724966564103,351.96798157014916,0,90.76974354162084,-16.13601368236269,100,0.14595792200926605,0.0,2,15.375
43,0.8370415818181128,1.0,1.0,0.046875,0.14333333333333334,0.1629584181818872,1.0,1.469576158976824e-14,410.50685100381355,369.4561659034322,0,94.4873145175942,1.9888752545456616,100,0.1036467959508175,0.0,1,10.5
44,0.8554753007560414,1.0,1.0,0.046875,0.14666666666666667,0.14452469924395855,1.0,0.0,739.6994754636265,665.7295279172639,0,76.64025440161006,-1.8997592356014583,100,0.08437831695987286,0.0,1,14.333333333333334
45,0.7809638050595404,1.0,0.8,0.0625,0.15,0.21903619494045956,0.19041784703565964,0.0,0,20.0,85.03217167587547,105.03217167587547,-5.534534474465429,80.0,0.11331116951668674,0.8095821529643403,0,0
46,0.834910490795884,1.0,0.6,0.046875,0.15333333333333332,0.16508950920411608,0.23981755013944756,0.0,0,20.0,63.3967321756499,83.3967321756499,-26.9583804695987,60.0,0.11114683219399513,0.7601824498605524,2,13.125
47,0.7742172856469871,1.0,1.0,0.0625,0.15666666666666668,0.2257827143530129,1.0,0.0,888.5766091828986,799.7189482646087,0,136.2032264137485,10.677348143059039,100,0.15563670168875043,0.0,0,0
48,0.7877971216697067,1.0,1.0,0.046875,0.16,0.2122028783302933,1.0,0.0,853.3165367662523,767.984883089627,0,107.81130913948306,-44.11339136500912,100,0.12004635058732904,0.0,2,29.375
49,0.8203031626188635,1.0,1.0,0.046875,0.16333333333333333,0.17969683738113645,1.0,0.0,186.36286222351447,167.72657600116304,0,114.97642237411353,0.5390905121434093,100,0.15725592549906364,0.0,1,12.0
