time,free_cpu_ratio,job_queue_ratio,battery_ratio,running_job_ratio,time_norm,cpu_usage_ratio,clean_energy_ratio,solar_generation,wind_generation,clean_energy_generation,non_clean_energy_used,cluster_consumption,reward,battery_level,ram_usage_ratio,brown_energy_ratio,completed_jobs,avg_slowdown
1,0.7911295499670812,1.0,1.0,0.015625,0.0006666666666666666,0.20887045003291888,1.0,0.0,3.8703004958870135,3.483270446298312,0,0,0.6266113500987567,100,0.05088545716317738,0,0,0
2,0.6814950287667126,1.0,1.0,0.03125,0.0013333333333333333,0.31850497123328736,0.6680412248729938,0.0,45.15176145694879,40.63658531125391,20.192872210592334,60.829457521846244,-93.32843389053187,100,0.11088466813254938,0.3319587751270062,0,0
3,0.5452619758708404,1.0,0.8,0.046875,0.002,0.4547380241291596,0.1492488724517355,0.0,1.9154449929739648,21.723900493676567,123.83097129070963,145.5548717843862,-616.2981536566434,80.0,0.17063249178425355,0.8507511275482645,0,0
4,0.6274907115435729,1.0,0.60240152484605,0.046875,0.0026666666666666666,0.37250928845642706,0.1904641551387856,0.0,2.401524846050076,22.161372361445068,94.19318445947872,116.35455682092378,-467.7437528806365,60.240152484605005,0.18302345414987098,0.8095358448612144,1,0.8
5,0.4569120510809488,1.0,0.4220729435383327,0.0625,0.0033333333333333335,0.5430879489190512,0.21045042903556202,0.0,19.671418692282636,37.70427682305437,141.4556184351448,179.15989525819919,-703.5443240386112,42.20729435383327,0.22602880583888685,0.7895495709644379,0,0
6,0.497010077874655,1.0,0.2512793179383553,0.0625,0.004,0.502989922125345,0.21724836425393063,0.0,29.20637440002259,46.28573696002033,166.7687415810437,213.05447854106404,-830.4955878296366,25.12793179383553,0.22574289597628605,0.7827516357460693,1,1.3333333333333335
7,0.3328253816762272,1.0,0.07316680700750258,0.078125,0.004666666666666667,0.6671746183237728,0.1486332468386568,0.0,21.887489069147282,39.69874016223255,227.39318581396586,267.0919259761984,-1133.4780727464715,7.316680700750258,0.2863537353343786,0.8513667531613431,0,0
8,0.34280168122130017,1.0,0.0,0.078125,0.005333333333333333,0.6571983187786998,0.07584517158965536,12.940952255126037,0,20.257632955876296,246.83429302032212,267.0919259761984,-1236.041418429378,0,0.27926855831866404,0.9241548284103447,1,5.6000000000000005
9,0.6981276543885337,1.0,0.06443513010574999,0.046875,0.006,0.30187234561146625,0.3643964154366993,24.999999999999996,39.43513010574998,57.99161709517498,101.1526956327007,159.14431272787567,-502.0081826865878,6.443513010574998,0.15996846663338649,0.6356035845633007,3,1.2647619047619048
10,0.6408598573734492,1.0,0.0,0.0625,0.006666666666666667,0.35914014262655086,0.2477081040419648,35.35533905932737,6.489012183579684,48.287864253482056,146.65070846798812,194.93857272147017,-729.6990408716413,0,0.1996143508546807,0.7522918959580353,0,0
11,0.6669343303631663,1.0,0.08480967774910235,0.0625,0.007333333333333333,0.33306566963683365,0.415442721149998,43.30127018922193,41.508407559880425,76.32870997419212,107.39989107796882,183.72860105216094,-532.4458311694336,8.480967774910235,0.16300345484441736,0.584557278850002,1,1.6
12,0.5296415804177158,1.0,0.1546089934773788,0.0625,0.008,0.4703584195822842,0.34191401771798313,48.29629131445341,21.503024413823038,62.81938415544881,120.90921689671214,183.72860105216094,-607.5158690476338,15.46089934773788,0.1673209021273283,0.6580859822820169,1,8.8
13,0.38185903187261017,1.0,0.011541121567153319,0.078125,0.008666666666666666,0.6181409681273898,0.228892511029529,50.0,6.932128089774503,71.23891528079704,239.99413887363372,311.23305415443076,-1195.827346353491,1.1541121567153318,0.21120460740027835,0.771107488970471,0,0
14,0.3114783440840958,1.0,0.11090050840979532,0.078125,0.009333333333333334,0.6885216559159042,0.2647697097473484,48.29629131445341,51.06309552818856,89.42344815837778,248.317029193463,337.74047735184075,-1237.9518839020939,11.090050840979531,0.19390289952957196,0.7352302902526516,1,2.08
15,0.3838146417104451,1.0,0.1894431930517462,0.0625,0.01,0.6161853582895549,0.30386157680343173,43.30127018922194,35.24141445272895,70.6884161777558,161.9451958813437,232.63361205909948,-815.6388075638155,18.94431930517462,0.15493307316161076,0.6961384231965684,2,6.4
16,0.46495148907476247,1.0,0.23538928352908017,0.046875,0.010666666666666666,0.5350485109252375,0.2178616678952219,35.35533905932738,10.590751418006569,41.351481429600554,148.45465486367374,189.8061362932743,-750.4895121066407,23.538928352908016,0.10069596740390807,0.782138332104778,2,7.0
17,0.4654629100898987,1.0,0.2807546074489096,0.046875,0.011333333333333334,0.5345370899101013,0.21510785860347995,24.999999999999996,20.36532391982944,40.82879152784649,148.9773447654278,189.8061362932743,-752.9320339713738,28.07546074489096,0.1029501973754402,0.78489214139652,1,12.8
18,0.4479963759365606,1.0,0.1303254331400761,0.046875,0.012,0.5520036240634394,0.26841241415772954,12.940952255126051,36.629873436040434,64.61374312204984,176.11187057508826,240.7256136971381,-877.9392178616737,13.032543314007611,0.08199899727941795,0.7315875858422705,1,2.72
19,0.46831387811725866,1.0,0.1623224549233884,0.046875,0.012666666666666666,0.5316861218827413,0.2214985252277318,6.123233995736766e-15,31.997021783312295,28.797319604981073,101.21401828258887,130.01133788756994,-503.3171906521617,16.23224549233884,0.10130018728263956,0.7785014747722683,1,2.0571428571428574
20,0.5292383516864123,1.0,0.20476620947796248,0.046875,0.013333333333333334,0.4707616483135877,0.28001372692059956,0.0,42.44375455457407,38.19937909911666,98.22028689085977,136.41966598997644,-493.4890122401521,20.47662094779625,0.14118741496082432,0.7199862730794004,1,7.6000000000000005
21,0.6633369890391112,1.0,0.035129699127184576,0.046875,0.014,0.33666301096088885,0.260774939294886,0.0,30.36348964922209,47.32714068429988,134.15939637431694,181.48653705861682,-674.1792434457531,3.5129699127184573,0.1301411200140924,0.739225060705114,1,8.0
22,0.6057412285409991,1.0,0.0,0.0625,0.014666666666666666,0.39425877145900096,0.1227714212104253,0.0,21.251127770221437,24.764097682939898,176.9448785493644,201.7089762323043,-882.3139022203408,0,0.15978062534375048,0.8772285787895747,0,0
